SkiaApiToken,Occurrences,SampleLocation
SKFont,31,/Users/wieslawsoltes/GitHub/bindings/VelloSharp/extern/Avalonia/tests/Avalonia.Skia.UnitTests/Media/CustomFontManagerImpl.cs
SKFontEdging,9,/Users/wieslawsoltes/GitHub/bindings/VelloSharp/extern/Avalonia/src/Skia/Avalonia.Skia/GlyphRunImpl.cs
SKFontHinting,2,/Users/wieslawsoltes/GitHub/bindings/VelloSharp/extern/Avalonia/src/Skia/Avalonia.Skia/GlyphRunImpl.cs
SKFontManager,3,/Users/wieslawsoltes/GitHub/bindings/VelloSharp/extern/Avalonia/tests/Avalonia.Skia.UnitTests/Media/CustomFontManagerImpl.cs
SKFontStyle,15,/Users/wieslawsoltes/GitHub/bindings/VelloSharp/extern/Avalonia/tests/Avalonia.Skia.UnitTests/Media/CustomFontManagerImpl.cs
SKFontStyleSlant,8,/Users/wieslawsoltes/GitHub/bindings/VelloSharp/extern/Avalonia/tests/Avalonia.Skia.UnitTests/Media/CustomFontManagerImpl.cs
SKFontStyleWeight,4,/Users/wieslawsoltes/GitHub/bindings/VelloSharp/extern/Avalonia/tests/Avalonia.Skia.UnitTests/Media/CustomFontManagerImpl.cs
SKFontStyleWidth,4,/Users/wieslawsoltes/GitHub/bindings/VelloSharp/extern/Avalonia/tests/Avalonia.Skia.UnitTests/Media/CustomFontManagerImpl.cs
SKIA,3,/Users/wieslawsoltes/GitHub/bindings/VelloSharp/extern/Avalonia/tests/Avalonia.Skia.RenderTests/CrossTestBase.cs
SKImage,42,/Users/wieslawsoltes/GitHub/bindings/VelloSharp/extern/Avalonia/src/Skia/Avalonia.Skia/Helpers/PixelFormatHelper.cs
SKImageCachingHint,1,/Users/wieslawsoltes/GitHub/bindings/VelloSharp/extern/Avalonia/src/Skia/Avalonia.Skia/FramebufferRenderTarget.cs
SKImageFilter,6,/Users/wieslawsoltes/GitHub/bindings/VelloSharp/extern/Avalonia/src/Skia/Avalonia.Skia/DrawingContextImpl.Effects.cs
SKImageInfo,22,/Users/wieslawsoltes/GitHub/bindings/VelloSharp/extern/Avalonia/src/Skia/Avalonia.Skia/Helpers/PixelFormatHelper.cs
SKManagedStream,4,/Users/wieslawsoltes/GitHub/bindings/VelloSharp/extern/Avalonia/src/Skia/Avalonia.Skia/WriteableBitmapImpl.cs
SKMatrix,27,/Users/wieslawsoltes/GitHub/bindings/VelloSharp/extern/Avalonia/src/Skia/Avalonia.Skia/Helpers/ImageSavingHelper.cs
SKMatrix44,4,/Users/wieslawsoltes/GitHub/bindings/VelloSharp/extern/Avalonia/src/Skia/Avalonia.Skia/DrawingContextImpl.cs
SKMatrix4x4,2,/Users/wieslawsoltes/GitHub/bindings/VelloSharp/extern/Avalonia/src/Skia/Avalonia.Skia/DrawingContextImpl.cs
SKMipmapMode,4,/Users/wieslawsoltes/GitHub/bindings/VelloSharp/extern/Avalonia/src/Skia/Avalonia.Skia/SkiaSharpExtensions.cs
SKPaint,38,/Users/wieslawsoltes/GitHub/bindings/VelloSharp/extern/Avalonia/src/Skia/Avalonia.Skia/Helpers/SKPathHelper.cs
SKPaintCache,17,/Users/wieslawsoltes/GitHub/bindings/VelloSharp/extern/Avalonia/src/Skia/Avalonia.Skia/Helpers/SKPathHelper.cs
SKPaints,1,/Users/wieslawsoltes/GitHub/bindings/VelloSharp/extern/Avalonia/src/Skia/Avalonia.Skia/SKPaintCache.cs
SKPath,80,/Users/wieslawsoltes/GitHub/bindings/VelloSharp/extern/Avalonia/src/Skia/Avalonia.Skia/SkiaSharpExtensions.cs
SKPathArcSize,2,/Users/wieslawsoltes/GitHub/bindings/VelloSharp/extern/Avalonia/src/Skia/Avalonia.Skia/StreamGeometryImpl.cs
SKPathDirection,4,/Users/wieslawsoltes/GitHub/bindings/VelloSharp/extern/Avalonia/src/Skia/Avalonia.Skia/StreamGeometryImpl.cs
SKPathEffect,2,/Users/wieslawsoltes/GitHub/bindings/VelloSharp/extern/Avalonia/src/Skia/Avalonia.Skia/Helpers/DrawingContextHelper.cs
SKPathFillType,3,/Users/wieslawsoltes/GitHub/bindings/VelloSharp/extern/Avalonia/src/Skia/Avalonia.Skia/StreamGeometryImpl.cs
SKPathHelper,4,/Users/wieslawsoltes/GitHub/bindings/VelloSharp/extern/Avalonia/src/Skia/Avalonia.Skia/Helpers/SKPathHelper.cs
SKPathMeasure,2,/Users/wieslawsoltes/GitHub/bindings/VelloSharp/extern/Avalonia/src/Skia/Avalonia.Skia/GeometryImpl.cs
SKPathOp,4,/Users/wieslawsoltes/GitHub/bindings/VelloSharp/extern/Avalonia/src/Skia/Avalonia.Skia/CombinedGeometryImpl.cs
SKPathVerb,8,/Users/wieslawsoltes/GitHub/bindings/VelloSharp/extern/Avalonia/src/Skia/Avalonia.Skia/Helpers/SKPathHelper.cs
SKPicture,5,/Users/wieslawsoltes/GitHub/bindings/VelloSharp/extern/Avalonia/src/Skia/Avalonia.Skia/Helpers/ImageSavingHelper.cs
SKPictureRecorder,1,/Users/wieslawsoltes/GitHub/bindings/VelloSharp/extern/Avalonia/src/Skia/Avalonia.Skia/PictureRenderTarget.cs
SKPixelGeometry,6,/Users/wieslawsoltes/GitHub/bindings/VelloSharp/extern/Avalonia/src/Skia/Avalonia.Skia/FramebufferRenderTarget.cs
SKPoint,28,/Users/wieslawsoltes/GitHub/bindings/VelloSharp/extern/Avalonia/src/Skia/Avalonia.Skia/Helpers/SKPathHelper.cs
SKRect,38,/Users/wieslawsoltes/GitHub/bindings/VelloSharp/extern/Avalonia/src/Skia/Avalonia.Skia/SkiaRegionImpl.cs
SKRectI,7,/Users/wieslawsoltes/GitHub/bindings/VelloSharp/extern/Avalonia/src/Skia/Avalonia.Skia/SkiaRegionImpl.cs
SKRegion,3,/Users/wieslawsoltes/GitHub/bindings/VelloSharp/extern/Avalonia/src/Skia/Avalonia.Skia/SkiaRegionImpl.cs
SKRegionOperation,1,/Users/wieslawsoltes/GitHub/bindings/VelloSharp/extern/Avalonia/src/Skia/Avalonia.Skia/SkiaRegionImpl.cs
SKRoundRect,25,/Users/wieslawsoltes/GitHub/bindings/VelloSharp/extern/Avalonia/src/Skia/Avalonia.Skia/DrawingContextImpl.cs
SKRoundRectCache,12,/Users/wieslawsoltes/GitHub/bindings/VelloSharp/extern/Avalonia/src/Skia/Avalonia.Skia/DrawingContextImpl.cs
SKSamplingOptions,16,/Users/wieslawsoltes/GitHub/bindings/VelloSharp/extern/Avalonia/src/Skia/Avalonia.Skia/IDrawableBitmapImpl.cs
SKShader,38,/Users/wieslawsoltes/GitHub/bindings/VelloSharp/extern/Avalonia/src/Skia/Avalonia.Skia/DrawingContextImpl.cs
SKShaderTileMode,21,/Users/wieslawsoltes/GitHub/bindings/VelloSharp/extern/Avalonia/src/Skia/Avalonia.Skia/DrawingContextImpl.cs
SKSizeI,1,/Users/wieslawsoltes/GitHub/bindings/VelloSharp/extern/Avalonia/src/Skia/Avalonia.Skia/Helpers/ImageSavingHelper.cs
SKStrokeCap,6,/Users/wieslawsoltes/GitHub/bindings/VelloSharp/extern/Avalonia/src/Skia/Avalonia.Skia/SkiaSharpExtensions.cs
SKStrokeJoin,6,/Users/wieslawsoltes/GitHub/bindings/VelloSharp/extern/Avalonia/src/Skia/Avalonia.Skia/Helpers/SKPathHelper.cs
SKSurface,38,/Users/wieslawsoltes/GitHub/bindings/VelloSharp/extern/Avalonia/src/Skia/Avalonia.Skia/Gpu/OpenGl/GlRenderTarget.cs
SKSurfaceProperties,6,/Users/wieslawsoltes/GitHub/bindings/VelloSharp/extern/Avalonia/src/Skia/Avalonia.Skia/SurfaceRenderTarget.cs
SKTextAlign,8,/Users/wieslawsoltes/GitHub/bindings/VelloSharp/extern/Avalonia/src/Skia/Avalonia.Skia/SkiaSharpExtensions.cs
SKTextBlob,6,/Users/wieslawsoltes/GitHub/bindings/VelloSharp/extern/Avalonia/src/Skia/Avalonia.Skia/SKTextBlobBuilderCache.cs
SKTextBlobBuilder,4,/Users/wieslawsoltes/GitHub/bindings/VelloSharp/extern/Avalonia/src/Skia/Avalonia.Skia/SKTextBlobBuilderCache.cs
SKTextBlobBuilderCache,3,/Users/wieslawsoltes/GitHub/bindings/VelloSharp/extern/Avalonia/src/Skia/Avalonia.Skia/SKTextBlobBuilderCache.cs
SKTypeface,7,/Users/wieslawsoltes/GitHub/bindings/VelloSharp/extern/Avalonia/src/Skia/Avalonia.Skia/FontManagerImpl.cs
